rank,mrmr_mean,mrmr_max
160,"value__fft_coefficient__attr_""abs""__coeff_43","value__fft_coefficient__attr_""angle""__coeff_37"
161,value__autocorrelation__lag_4,"value__fft_coefficient__attr_""real""__coeff_68"
162,value__time_reversal_asymmetry_statistic__lag_2,"value__fft_coefficient__attr_""imag""__coeff_83"
163,"value__fft_coefficient__attr_""imag""__coeff_83","value__cwt_coefficients__coeff_12__w_2__widths_(2, 5, 10, 20)"
164,value__ratio_beyond_r_sigma__r_1,"value__fft_coefficient__attr_""real""__coeff_42"
165,"value__fft_coefficient__attr_""abs""__coeff_56","value__fft_coefficient__attr_""imag""__coeff_32"
166,"value__fft_coefficient__attr_""imag""__coeff_13","value__fft_aggregated__aggtype_""skew"""
167,value__ar_coefficient__coeff_10__k_10,value__benford_correlation
168,"value__fft_coefficient__attr_""imag""__coeff_52","value__fft_coefficient__attr_""abs""__coeff_54"
169,"value__fft_coefficient__attr_""abs""__coeff_73","value__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""min"""
170,"value__fft_coefficient__attr_""angle""__coeff_47","value__fft_coefficient__attr_""abs""__coeff_3"
171,"value__fft_coefficient__attr_""abs""__coeff_80","value__fft_coefficient__attr_""real""__coeff_9"
172,value__energy_ratio_by_chunks__num_segments_10__segment_focus_7,"value__fft_coefficient__attr_""angle""__coeff_28"
173,"value__fft_coefficient__attr_""imag""__coeff_6","value__fft_coefficient__attr_""imag""__coeff_2"
174,"value__fft_aggregated__aggtype_""skew""","value__fft_coefficient__attr_""angle""__coeff_50"
175,"value__fft_coefficient__attr_""imag""__coeff_24",value__energy_ratio_by_chunks__num_segments_10__segment_focus_2
176,value__length,"value__fft_coefficient__attr_""real""__coeff_27"
177,value__ratio_value_number_to_time_series_length,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.4__ql_0.2"
178,"value__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""mean""","value__fft_coefficient__attr_""abs""__coeff_97"
179,"value__agg_linear_trend__attr_""rvalue""__chunk_len_50__f_agg_""var""","value__fft_coefficient__attr_""angle""__coeff_43"
180,"value__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""mean""","value__fft_coefficient__attr_""angle""__coeff_10"
181,"value__fft_coefficient__attr_""abs""__coeff_10","value__fft_coefficient__attr_""imag""__coeff_26"
182,"value__fft_coefficient__attr_""angle""__coeff_98","value__fft_coefficient__attr_""abs""__coeff_24"
183,"value__cwt_coefficients__coeff_2__w_20__widths_(2, 5, 10, 20)","value__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""mean"""
184,"value__fft_coefficient__attr_""imag""__coeff_97","value__fft_coefficient__attr_""angle""__coeff_86"
185,"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.4","value__linear_trend__attr_""stderr"""
186,value__large_standard_deviation__r_0.25,"value__fft_coefficient__attr_""angle""__coeff_48"
187,"value__fft_coefficient__attr_""abs""__coeff_49","value__fft_coefficient__attr_""abs""__coeff_2"
188,value__index_mass_quantile__q_0.4,value__large_standard_deviation__r_0.35000000000000003
189,"value__fft_coefficient__attr_""angle""__coeff_74","value__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""max"""
190,"value__fft_coefficient__attr_""abs""__coeff_93","value__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""max"""
191,"value__fft_coefficient__attr_""angle""__coeff_10","value__fft_coefficient__attr_""abs""__coeff_66"
192,value__number_peaks__n_1,"value__fft_coefficient__attr_""imag""__coeff_43"
193,"value__fft_coefficient__attr_""real""__coeff_21","value__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""var"""
194,"value__fft_coefficient__attr_""imag""__coeff_48","value__fft_coefficient__attr_""abs""__coeff_4"
195,"value__fft_coefficient__attr_""angle""__coeff_55","value__fft_coefficient__attr_""real""__coeff_87"
196,"value__fft_coefficient__attr_""abs""__coeff_26","value__fft_coefficient__attr_""imag""__coeff_37"
197,"value__fft_coefficient__attr_""abs""__coeff_38","value__fft_coefficient__attr_""angle""__coeff_30"
198,"value__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""min""","value__fft_coefficient__attr_""real""__coeff_5"
199,"value__fft_coefficient__attr_""real""__coeff_44","value__fft_coefficient__attr_""angle""__coeff_20"
200,"value__fft_coefficient__attr_""real""__coeff_1","value__fft_coefficient__attr_""real""__coeff_29"
